Date,close,high,low,open,volume
2024-01-02,457.6726989746094,458.66039620914324,455.5811413344983,457.1982355112993,123623700
2024-01-03,453.9350280761719,456.25897115713644,453.3346793148978,455.5230445204575,103585900
2024-01-04,452.47283935546875,456.0362204956158,452.25011695275793,453.4605069773082,84232200
2024-01-05,453.09259033203125,455.53272607542186,451.6497852739501,452.6761936894624,86118900
2024-01-08,459.5609436035156,459.7061845131588,453.4605594436324,453.58644474883687,74879100
2024-01-09,458.86370849609375,459.88042430514423,456.41388024759897,456.9173918638988,65931400
2024-01-10,461.4587707519531,462.320582628156,458.8540090718071,459.13482782984977,67310600
2024-01-11,461.2554626464844,462.9693643803347,457.2950698074294,462.4561601628175,77940700
2024-01-12,461.57501220703125,463.43418447136196,460.1709773696293,462.69825780727723,58026400
2024-01-16,459.8804626464844,461.507219896807,458.0697237314841,460.2000221906259,85014900
2024-01-17,457.3241271972656,457.80828324431627,454.9807989273028,456.8690193310164,68843900
2024-01-18,461.3910217285156,461.9429667160371,457.4500139514087,458.98962663985805,91856200
2024-01-19,467.1427917480469,467.4236105266518,461.43944893766223,462.51426116700225,110834500
2024-01-22,468.1305236816406,469.8444255597238,467.4817415348223,468.6727761250073,75844900
2024-01-23,469.49578857421875,469.737866598163,467.5882421140563,468.67274693324026,49945300
2024-01-24,470.0090637207031,473.28193407003323,469.5152150522186,472.3523626504235,81765000
2024-01-25,472.5653381347656,472.8364643322263,470.0090096373567,472.12958588323926,72525000
2024-01-26,471.9649963378906,473.6208017271318,471.122569553023,472.13928542085506,76641600
2024-01-29,475.7026672363281,475.8479376894722,471.73261132928997,472.27486373270614,61322800
2024-01-30,475.334716796875,476.04156568160744,474.5794050287412,475.0151572718124,58618400
2024-01-31,467.57855224609375,473.58206954437225,467.55916709172027,473.13665425188526,126011100
2024-02-01,473.69830322265625,473.72735140437555,468.4693941088524,469.27310972065493,91891600
2024-02-02,478.6850891113281,480.33120193919586,473.79509531108175,474.1340104537586,99228200
2024-02-05,476.9421081542969,478.7141358274664,474.69564656369516,478.0556906983339,75757100
2024-02-06,478.3268127441406,478.6560353058455,476.4579479680973,477.8813679101815,55918600
2024-02-07,482.3163146972656,482.7326818528335,479.66311916407506,480.5636719721608,70556500
2024-02-08,482.5293273925781,482.9069537723974,481.50291885696174,482.31629753326854,52343600
2024-02-09,485.3180847167969,485.7538074749057,482.6939373878326,483.0328525667237,63979400
2024-02-12,485.1049499511719,487.5450855205492,484.3883789863298,485.2889315927697,56502300
2024-02-13,478.42364501953125,481.3382739920692,475.1701304413372,478.8593972990049,113099200
2024-02-14,482.7713623046875,483.2555183461787,478.73348791641325,481.0477679790003,68387800
2024-02-15,486.1023864746094,486.28636814510776,482.9940832312684,483.4685762738627,61683000
2024-02-16,483.68157958984375,486.9350940149201,482.94565294822615,485.8021854224716,75532900
2024-02-20,481.01873779296875,482.6164468795506,478.78193916164605,481.9483091532552,71736700
2024-02-21,481.4544982910156,481.6094317883095,477.9201646887193,479.7212407380355,59293400
2024-02-22,491.4184265136719,492.3770461062639,487.08037735176976,488.0390264949041,76402500
2024-02-23,491.7572937011719,493.9650440524054,491.03105964418,493.1322803007743,61321800
2024-02-26,489.9562683105469,492.6288193715667,489.8303829996231,492.1930670722987,50386700
2024-02-27,490.866455078125,491.089177503547,488.75554175218684,490.6437622032437,48854500
2024-02-28,490.21771240234375,490.798676044666,488.9588888927158,489.3171596556616,56506600
2024-02-29,491.9800109863281,493.5874126583201,489.3365378000111,491.9703479594554,83924800
2024-03-01,496.5988464355469,497.02490613181874,492.4448087227075,492.85151281479995,76844800
2024-03-04,496.0663146972656,497.90613146747353,495.775832865413,495.80491059914067,49799300
2024-03-05,491.10858154296875,494.51705944817036,488.91052345565936,494.0716145533947,72855600
2024-03-06,493.5970764160156,495.84356750478094,492.3092343684573,494.3717142498123,68382400
2024-03-07,498.4967346191406,499.54252820351775,493.65517426694095,496.8796700098079,58652100
2024-03-08,495.5047607421875,501.79876100705087,494.9334600434697,499.12626876111693,86532500
2024-03-11,495.07861328125,495.6596064560232,492.38670680365675,494.3039754152461,62557200
2024-03-12,500.4043273925781,500.9852909796221,494.6718775287178,497.1798317317913,73114400
2024-03-13,499.61993408203125,500.8981130648415,498.1868511775515,500.72382399005966,55104100
2024-03-14,498.6323547363281,500.7432681365898,495.6015329710001,500.5883050955873,110171800
2024-03-15,495.20843505859375,497.02482972446626,493.5474849090623,495.5775416790132,107646300
2024-03-18,498.15155029296875,500.696405939081,497.74361217385916,499.25887018669476,88893300
2024-03-19,500.9197998046875,501.201461454095,496.4614118820625,497.4619006203073,60755300
2024-03-20,505.5529479980469,505.688947116047,500.30785211015336,500.9780657234889,69594600
2024-03-21,507.2236328125,509.0788290865272,506.9419118942698,508.37950670617295,60256100
2024-03-22,506.26202392578125,507.62183717523607,506.0288571860112,507.13617688228,79070800
2024-03-25,504.86346435546875,506.00961586060225,504.708019817815,504.8925731533284,48512100
2024-03-26,503.9308776855469,506.62145492992863,503.5326622935472,506.28145712240774,65463700
2024-03-27,508.1658935546875,508.20478432945873,504.59144007407906,506.7478031087625,82999800
2024-03-28,508.0686340332031,509.5644462989382,507.78697242349654,508.20463313500636,96294900
2024-04-01,507.184814453125,509.3411773364756,506.0289403944362,508.8069627833215,62477500
2024-04-02,503.9600524902344,504.0959923303483,501.6676906072498,503.3772245058647,74230300
2024-04-03,504.5136413574219,506.00951312621123,502.8235528830779,502.87210705946654,59155800
2024-04-04,498.3554992675781,508.845750562364,498.0543922336854,508.50581204447843,96858100
2024-04-05,503.5617370605469,505.5141009734885,499.2685165612303,499.7056226929599,74546500
2024-04-08,503.84344482421875,505.26159438808656,503.03729132856745,504.26116489557916,48401800
2024-04-09,504.42626953125,505.81525100842816,499.5987748577626,505.57242083511636,68049200
2024-04-10,499.37542724609375,501.3569002653356,497.4036769200619,498.75376772780487,82652800
2024-04-11,503.1440734863281,504.5816090108978,497.3938721033446,500.8906025681321,70099000
2024-04-12,496.19921875,501.0266841379513,494.4799620247676,499.61825717169796,92561100
2024-04-15,489.98272705078125,500.5215326754904,489.13765316276323,500.3564247602264,92101400
2024-04-16,489.089111328125,491.97393499543114,487.80696088879887,490.45867707344763,73484000
2024-04-17,486.1946105957031,491.7020125291738,484.80562897726037,491.5368749518904,75910300
2024-04-18,485.1941223144531,489.6719263116465,484.26166270979206,487.5835926622845,74548100
2024-04-19,480.959228515625,486.10721708739163,479.6964936439218,485.1164805063232,102212600
2024-04-22,485.38836669921875,487.9720832401042,481.22139272247443,483.5525564034497,67961000
2024-04-23,491.14825439453125,491.575637828991,485.2037770782218,487.38924842347393,64633600
2024-04-24,490.9151611328125,492.8189412598712,488.70055129127593,492.032173924217,55928100
2024-04-25,489.0502624511719,489.8078914311426,483.222338099903,484.8638724968989,69122400
2024-04-26,493.6834716796875,495.2570064811488,491.1968930428971,491.82824557353393,64306100
2024-04-29,495.4317932128906,496.1020068122778,492.70238464126857,495.46093164580515,46415400
2024-04-30,487.5836181640625,494.9462166692865,487.5836181640625,493.9748958846082,77483600
2024-05-01,486.0003356933594,493.6154866987963,485.5340910693037,487.00079486473084,80242800
2024-05-02,490.5460510253906,491.38140217174987,485.2232033620505,489.6912841378985,62550200
2024-05-03,496.6265563964844,497.8504002906167,493.97484028154764,496.5002799659129,72756700
2024-05-06,501.75506591796875,501.79389739765344,498.5788287338661,499.01593484030155,47264700
2024-05-07,502.30877685546875,503.69775827546636,501.6385632333307,502.71671493011996,52561300
2024-05-08,502.3572998046875,502.89151427383246,500.3661044462176,500.4826581745873,42047200
2024-05-09,505.2518615722656,505.290752341684,501.89112996130467,502.5418982172586,43643700
2024-05-10,505.90264892578125,507.6510141541504,504.68849817209366,506.84480145398453,52233200
2024-05-13,505.97064208984375,507.6801760152973,504.8342134653113,507.57334496613424,36716400
2024-05-14,508.29217529296875,508.8070037863036,505.63076572102176,506.1649803172263,57535900
2024-05-15,514.5862426757812,514.8776269913382,510.1181324599974,510.7495145476232,59504900
2024-05-16,513.5274658203125,516.2763195865357,513.3817440234014,514.6833396504084,50244800
2024-05-17,514.2656860351562,514.3336855890079,512.1967684847502,513.6440266439718,59187600
2024-05-20,514.858154296875,516.3151350820737,513.9936648026625,514.3822167259287,37764200
