Date,close,high,low,open,volume
2024-01-02,190.72000122070312,191.88999938964844,190.5,191.44000244140625,6025600
2024-01-03,189.1300048828125,189.86000061035156,188.16000366210938,188.77000427246094,8661600
2024-01-04,189.32000732421875,189.75,188.69000244140625,189.0800018310547,4416700
2024-01-05,189.35000610351562,191.25999450683594,189.0800018310547,189.67999267578125,7481900
2024-01-08,187.8699951171875,188.74000549316406,187.11000061035156,187.2100067138672,6215000
2024-01-09,187.92999267578125,188.77999877929688,187.72999572753906,188.67999267578125,4437300
2024-01-10,187.5,188.44000244140625,187.2100067138672,188.13999938964844,4504700
2024-01-11,187.8699951171875,188.5500030517578,186.55999755859375,188.02000427246094,6831100
2024-01-12,189.7100067138672,191.0800018310547,189.16000366210938,190.6699981689453,6833700
2024-01-16,187.91000366210938,189.25999450683594,187.5399932861328,189.14999389648438,6548100
2024-01-17,185.83999633789062,187.4199981689453,185.4499969482422,187.30999755859375,8643200
2024-01-18,187.3699951171875,187.39999389648438,186.3000030517578,186.36000061035156,4685200
2024-01-19,187.92999267578125,188.3000030517578,187.44000244140625,188.25999450683594,5719700
2024-01-22,187.22000122070312,187.75999450683594,186.85000610351562,187.22999572753906,4397500
2024-01-23,187.9499969482422,188.14999389648438,187.27999877929688,187.4499969482422,5040800
2024-01-24,186.39999389648438,188.3699951171875,186.32000732421875,188.3300018310547,6085400
2024-01-25,187.13999938964844,187.63999938964844,186.4600067138672,187.33999633789062,4651000
2024-01-26,187.00999450683594,187.3800048828125,186.75999450683594,187.27000427246094,5064800
2024-01-29,188.3300018310547,188.5399932861328,187.19000244140625,188.30999755859375,5629700
2024-01-30,188.58999633789062,189.8300018310547,187.97999572753906,189.6999969482422,4976500
2024-01-31,188.4499969482422,190.4600067138672,188.1300048828125,189.3699951171875,7886100
2024-02-01,190.41000366210938,191.36000061035156,188.99000549316406,189.7100067138672,10278100
2024-02-02,188.61000061035156,188.8699951171875,187.85000610351562,188.07000732421875,7337600
2024-02-05,187.57000732421875,187.82000732421875,186.6999969482422,186.8800048828125,5436100
2024-02-06,188.5500030517578,188.85000610351562,187.74000549316406,187.94000244140625,4866100
2024-02-07,188.5,189.38999938964844,188.27999877929688,188.4499969482422,6276900
2024-02-08,188.3300018310547,188.52999877929688,187.82000732421875,187.91000366210938,3873300
2024-02-09,187.60000610351562,187.77000427246094,187.13999938964844,187.55999755859375,4412600
2024-02-12,187.11000061035156,187.27000427246094,186.36000061035156,186.60000610351562,4706300
2024-02-13,184.52999877929688,185.3800048828125,184.3300018310547,185.35000610351562,9525800
2024-02-14,184.4199981689453,184.8800048828125,183.77999877929688,184.27000427246094,7031600
2024-02-15,185.66000366210938,186.02000427246094,185.10000610351562,185.60000610351562,6228900
2024-02-16,186.33999633789062,186.6699981689453,184.83999633789062,185.0800018310547,6518500
2024-02-20,187.47000122070312,188.02999877929688,187.39999389648438,187.9600067138672,5531200
2024-02-21,187.47999572753906,188.0399932861328,187.10000610351562,187.8800048828125,5789200
2024-02-22,187.55999755859375,187.63999938964844,187.0500030517578,187.55999755859375,4550800
2024-02-23,188.6199951171875,189.17999267578125,187.4600067138672,187.55999755859375,6827300
2024-02-26,188.1999969482422,188.36000061035156,187.52999877929688,187.7899932861328,4491900
2024-02-27,188.0,188.72000122070312,187.8800048828125,188.5800018310547,5165400
2024-02-28,188.33999633789062,188.52000427246094,188.02999877929688,188.33999633789062,2824100
2024-02-29,189.30999755859375,189.9199981689453,189.22999572753906,189.63999938964844,6848600
2024-03-01,192.88999938964844,193.39999389648438,189.44000244140625,190.27000427246094,13411000
2024-03-04,196.00999450683594,196.3300018310547,193.8800048828125,194.14999389648438,12216300
2024-03-05,197.19000244140625,198.13999938964844,196.64999389648438,197.44000244140625,9672200
2024-03-06,198.80999755859375,199.3000030517578,197.44000244140625,198.0800018310547,10459300
2024-03-07,199.94000244140625,200.11000061035156,198.91000366210938,199.5399932861328,8403700
2024-03-08,201.6300048828125,203.3000030517578,200.4499969482422,200.88999938964844,13540100
2024-03-11,202.0,202.41000366210938,201.4600067138672,201.7100067138672,7329600
2024-03-12,199.7899932861328,200.6300048828125,199.16000366210938,200.4199981689453,9436600
2024-03-13,201.19000244140625,201.86000061035156,200.35000610351562,200.44000244140625,5930000
2024-03-14,200.35000610351562,200.47000122070312,199.33999633789062,200.3699951171875,6865000
2024-03-15,199.7100067138672,200.6300048828125,199.57000732421875,199.94000244140625,4556700
2024-03-18,200.02999877929688,200.14999389648438,199.50999450683594,199.66000366210938,7206800
2024-03-19,199.8000030517578,199.80999755859375,198.94000244140625,199.6199951171875,4657500
2024-03-20,202.17999267578125,202.66000366210938,199.1199951171875,199.16000366210938,9593800
2024-03-21,201.97000122070312,203.9199981689453,200.60000610351562,203.8800048828125,7396500
2024-03-22,200.35000610351562,201.86000061035156,199.72000122070312,201.32000732421875,6918500
2024-03-25,200.99000549316406,201.9499969482422,200.97000122070312,201.19000244140625,4034800
2024-03-26,201.63999938964844,202.75999450683594,201.07000732421875,202.64999389648438,5752700
2024-03-27,203.10000610351562,203.22000122070312,202.32000732421875,202.32000732421875,6041000
2024-03-28,205.72000122070312,206.0500030517578,203.8699951171875,204.5399932861328,9194500
2024-04-01,207.82000732421875,208.72999572753906,206.2899932861328,208.67999267578125,13677100
2024-04-02,210.88999938964844,211.02999877929688,208.36000061035156,209.07000732421875,13421100
2024-04-03,212.74000549316406,212.8300018310547,210.3000030517578,210.57000732421875,11416200
2024-04-04,211.52000427246094,213.4499969482422,211.02000427246094,212.0,12307300
2024-04-05,215.13999938964844,215.74000549316406,212.22000122070312,212.49000549316406,13382700
2024-04-08,216.47999572753906,216.80999755859375,214.61000061035156,215.97999572753906,10331400
2024-04-09,217.6699981689453,218.86000061035156,216.4499969482422,217.80999755859375,13069900
2024-04-10,215.61000061035156,217.77999877929688,214.67999267578125,215.3699951171875,13317500
2024-04-11,219.8000030517578,219.83999633789062,215.88999938964844,216.85000610351562,11415200
2024-04-12,216.88999938964844,225.08999633789062,216.02000427246094,221.8699951171875,30898800
2024-04-15,220.9499969482422,221.02999877929688,215.16000366210938,217.94000244140625,13239000
2024-04-16,221.22000122070312,221.99000549316406,218.77999877929688,220.17999267578125,10746100
